Croaker (Goblin Doctor)	25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25
Crusading Academic	33 34 34 35 31 36 31 34 36 32 36 36 32 32 36 33 32 33 33 34 34 33
Crystalist Caster (EssCo)	29 29 29 29 29 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25
Cultist (ChanCo)	51 49 48 51 45 42 41 42 42 40 42 40 39 37 40 40 40 40 38 40 40 39
Cut Purse	24 16 16 26 25 40 26 41 40 34 42 37 31 44 34 37 33 43 37 37 39 41
Demonologist (EssCo)	54 53 51 52 48 42 37 41 42 39 42 41 37 41 40 42 42 42 39 42 42 42
Dernakwmun (Dwarf "Rockfist" Priest)	53 51 50 52 47 33 33 33 33 32 33 32 32 29 32 31 31 31 31 31 31 31
Detective	23 18 18 24 24 32 24 29 32 29 32 32 29 32 31 29 28 29 29 31 31 31
Diplomat	29 29 29 29 26 27 19 25 27 22 27 27 22 27 27 26 25 26 24 27 27 27
Doctor	29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29
Dream Traveller (MentCo)	46 44 41 45 39 35 39 41 42 41 45 42 39 42 41 42 42 42 42 37 37 37
Dreamweaver (MentCo)	43 41 39 40 37 33 37 39 40 39 42 41 39 41 40 40 40 40 40 35 35 35
Duelist	24 29 28 33 33 55 57 57 57 57 57 57 57 55 57 50 50 50 53 53 53 53
Earth Mage (Fire&Ice)	55 54 54 55 53 27 35 35 35 33 35 33 33 33 33 32 31 32 33 33 33 33
Elemental Crafter (Fire&Ice)	43 40 41 43 38 28 28 28 28 27 28 27 27 27 27 28 28 28 28 28 28 28
Elemental Scholar (Fire&Ice)	40 37 35 40 31 28 28 28 28 25 28 25 25 25 25 28 28 28 27 28 28 28
Elemental Wanderer	34 32 30 34 29 29 29 29 29 28 29 28 28 28 28 27 24 27 29 29 29 29
Engineer	43 43 43 43 43 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36 36
Escort (HardKnocks)	21 19 19 23 21 23 17 20 23 23 23 23 22 23 23 23 24 23 20 23 23 23
Executioner	24 27 25 26 27 38 38 38 40 38 40 38 40 28 40 34 32 30 32 34 36 29
Explorer	30 29 29 31 31 37 37 37 37 37 37 37 37 36 37 34 34 37 35 35 35 34
Famulus (Apprentice; ArcCo)	40 35 34 40 28 23 23 23 23 17 23 17 17 17 17 23 23 23 23 23 23 23
Farmer (HardKnocks)	26 30 27 29 30 33 41 41 41 41 39 41 41 40 41 36 29 35 39 39 39 38
Finder (Halfling)	30 18 20 30 30 49 36 48 48 43 49 46 43 49 43 45 40 48 45 46 49 48
Fire Mage (Fire&Ice)	57 56 56 57 55 35 35 35 35 32 35 32 32 27 32 32 32 32 33 32 32 31
Fortune Teller (MentCo)	35 31 33 35 27 22 18 20 22 18 22 18 16 18 18 22 22 22 20 22 22 22
Gharnurghir (Dwarf Defender)	24 31 28 45 32 50 55 55 56 57 57 57 57 49 57 51 51 51 53 49 47 46
Gladiator (HardKnocks)	38 45 41 48 46 61 63 63 64 64 64 64 64 60 64 55 55 56 59 58 58 57
Gossip (HardKnocks)	16 16 16 16 14 16 9 14 16 14 16 16 11 16 16 16 16 16 14 16 16 16
Grave Robber	29 21 22 27 27 35 32 31 34 32 33 33 35 35 32 32 31 33 32 34 35 31
Groom	16 20 16 20 20 24 24 24 24 24 20 24 24 24 24 24 16 24 24 24 24 24
Guardian	38 40 38 50 43 53 52 53 55 55 55 55 55 49 55 48 45 48 51 51 50 50
Guide (HardKnocks)	19 20 19 20 20 22 21 22 22 22 21 22 21 22 22 21 18 21 22 22 22 22
Guild Apprentice (EssCo)	48 46 46 48 41 34 33 34 34 31 34 31 31 31 31 34 34 34 34 34 34 34
Guild Elementalist	35 31 31 35 26 19 18 19 19 14 19 14 14 14 14 19 20 19 19 19 19 19
Guild Member (HardKnocks)	24 23 23 25 24 25 23 24 25 25 25 25 25 25 25 25 25 25 24 25 25 25
Hedge Wizard (EssCo)	54 54 51 52 47 42 39 43 45 45 45 45 41 45 43 45 45 45 43 43 43 43
Henchman (HardKnocks)	22 22 21 24 23 25 23 24 25 25 24 25 24 25 25 25 24 25 24 25 25 25
Hephuzad (Dwarf Smith)	38 41 39 41 41 43 48 48 48 48 48 48 48 47 48 46 45 46 47 46 46 46
Herbalist	22 22 22 22 22 25 25 25 25 25 25 25 25 25 25 22 18 22 25 25 25 25
Herbalist Caster (EssCo)	24 24 24 24 24 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18
Hermit (MentCo)	33 34 33 32 34 37 45 45 45 46 46 46 45 46 46 41 38 41 45 42 42 42
Hewer (Hobgoblin Fighter)	40 47 45 52 47 61 64 64 65 65 65 65 65 60 65 59 58 58 61 59 58 57
Highwayman	21 23 22 25 24 32 35 35 36 35 36 36 35 33 36 30 26 30 34 33 33 32
Houri (MentCo)	37 34 35 37 37 38 33 33 37 36 36 37 37 35 36 36 37 35 34 37 38 35
Hoythij Rak (Dwarf "Unhomed")	34 35 34 36 38 45 49 50 50 50 51 51 50 50 50 48 46 49 48 47 47 47
Hunter	34 30 30 36 35 47 42 48 47 46 48 47 45 46 46 41 33 44 45 46 46 47
Ice Mage (Fire&Ice)	55 54 54 55 53 29 34 34 34 33 35 33 33 33 33 34 34 34 34 31 31 31
Innkeeper (HardKnocks)	29 27 27 30 28 29 26 27 29 29 29 29 29 29 29 29 30 29 27 29 29 29
Inquisitor (ChanCo)	36 31 32 39 32 36 31 33 36 34 36 34 34 31 34 32 30 32 30 34 34 33
Inventor (Goblin)	42 39 40 43 42 48 48 47 49 48 48 49 49 47 48 48 49 46 48 48 49 46
Inventor	31 31 31 31 30 29 29 29 29 28 29 29 29 29 28 29 29 29 29 29 29 29
Jester	27 24 24 24 27 29 24 27 29 29 29 29 27 37 29 29 29 37 27 29 29 29
Journeying Apprentice (EssCo)	37 35 35 37 33 29 29 29 29 27 29 27 27 27 27 28 27 28 29 29 29 29
Knight	32 39 36 48 41 55 55 55 56 56 56 56 56 52 56 53 52 53 54 52 51 51
Laborer	11 16 13 13 15 16 28 28 28 27 28 27 28 25 28 23 20 21 25 25 25 23
Librarian (EssCo)	29 29 29 29 26 25 21 24 25 22 25 25 22 25 25 25 25 25 24 25 25 25
Librarian (HardKnocks)	39 39 38 39 33 29 28 29 29 27 29 29 27 28 29 29 29 29 29 29 29 29
Light Mage (Fire&Ice)	55 54 54 55 53 31 33 33 33 32 34 32 32 32 32 33 33 33 33 31 31 31
Loremaster	30 28 27 30 24 22 22 22 22 19 22 19 19 19 19 22 22 22 21 22 22 22
MA Challenger (MarCo)	42 45 44 35 46 56 59 60 62 62 62 62 62 62 62 57 56 57 60 54 54 54
MA Champion (MarCo)	25 29 28 34 31 49 51 51 54 54 54 54 54 50 54 46 46 46 50 45 43 41
MA Opera Performer (MarCo)	49 48 48 45 47 50 49 51 53 53 54 54 52 56 54 52 52 54 53 49 49 49
MA Street Performer (MarCo)	25 20 20 27 25 33 23 33 33 30 34 31 28 36 30 31 31 36 30 31 33 34
Magic Crafter	47 43 41 45 34 28 28 28 28 27 28 27 27 27 27 28 28 28 28 28 28 28
Manipulator (ArcCo)	49 45 43 46 37 30 27 28 30 30 30 30 29 28 30 30 30 30 28 30 30 30
Mariner (MentCo)	41 41 41 41 41 39 39 39 39 39 39 39 39 41 39 39 37 40 39 39 39 39
Martial Artist (Char Law)	40 40 40 30 40 49 49 49 54 53 54 54 54 54 53 49 49 49 54 40 40 40
Martial Artist (MarCo)	47 48 47 38 48 54 57 58 61 61 62 62 62 62 61 57 56 57 61 51 51 51
Medic (ChanCo)	49 46 45 46 40 35 36 36 36 37 37 37 37 37 37 36 36 36 36 35 35 35
Medium (ChanCo)	56 54 51 53 46 35 45 45 45 46 46 46 46 46 45 45 45 45 45 39 39 39
Meneumerakkinim (Dwarf "Cunning Han	35 29 31 38 37 50 50 49 51 50 50 51 51 47 50 49 49 46 49 49 50 47
Mercenary	34 40 37 46 41 52 55 55 56 56 56 56 56 51 56 50 49 49 52 52 52 50
Merchant	24 24 24 24 20 20 16 20 20 16 20 20 16 20 20 20 20 20 20 20 20 20
Miner (Goblin)	39 30 34 39 39 52 51 50 51 49 50 51 49 50 49 51 49 49 51 51 52 50
Minister (ChanCo)	53 51 48 51 42 33 28 30 33 31 33 33 31 33 32 33 33 33 30 33 33 33
Missionary (ChanCo)	54 52 50 52 46 42 35 39 42 39 42 42 39 42 41 41 39 41 39 42 42 42
Mother (HardKnocks)	24 24 24 24 25 28 24 26 28 27 28 28 26 28 28 28 28 28 27 28 28 28
Necromancer (ArcCo)	64 62 58 61 52 41 41 41 41 40 41 38 38 35 37 39 39 39 39 39 39 39
Ninja (MarCo)	50 47 47 49 51 63 62 66 66 64 66 65 64 67 64 62 60 65 64 60 61 62
Noble (HardKnocks)	25 26 25 26 26 28 25 26 28 28 27 28 27 28 28 28 27 28 26 28 28 28
Nomenist Caster (EssCo)	29 29 29 29 27 20 20 20 20 20 20 20 20 17 20 20 20 20 20 20 20 20
Oracle (MentCo)	45 41 42 45 35 28 27 28 28 25 28 25 24 25 25 28 28 28 28 28 28 28
Panhandler (HardKnocks)	19 13 14 22 19 26 23 24 25 24 24 25 26 24 24 25 28 24 25 25 26 24
Path Finder (Gnoll)	35 35 33 44 42 55 53 55 55 54 55 55 54 53 54 53 50 53 54 53 54 53
Performer	29 28 28 28 26 27 18 25 27 23 27 27 20 28 27 27 27 28 25 27 27 27
Philosopher	37 37 37 37 32 32 27 31 32 26 32 32 27 32 31 32 32 32 32 31 31 31
Physician (MentCo)	53 53 53 53 51 49 49 49 49 49 49 49 49 47 49 49 49 49 49 49 49 49
Pilgrim (ChanCo)	54 52 49 54 46 45 47 47 49 49 49 49 49 45 49 42 39 42 46 46 45 44
Pillager (Hobgoblin Scout)	28 27 26 31 30 42 41 46 45 45 46 45 44 43 45 38 32 39 41 43 43 43
Pirate (HardKnocks)	29 29 29 31 31 37 37 37 37 37 37 37 37 36 37 34 33 36 36 35 35 35
Political	34 33 33 37 33 45 31 44 45 39 45 43 35 43 41 41 38 44 39 41 43 43
Potioner (EssCo)	30 30 30 30 28 22 22 22 22 22 22 22 22 20 22 22 22 22 22 22 22 22
Prophet	42 38 40 42 35 30 27 29 30 28 30 28 27 28 28 28 27 28 28 30 30 30
Protector (ChanCo)	47 48 45 55 45 54 55 55 57 57 57 57 57 48 57 50 50 50 51 50 49 48
Protege (MentCo)	55 54 51 54 48 35 35 35 35 32 35 32 32 32 31 35 35 35 35 35 35 35
Prowldark (Troglodyte)	56 55 51 55 49 49 51 53 53 52 53 52 52 50 52 49 46 49 50 50 50 50
Romantic	23 21 21 24 23 24 16 22 24 24 24 24 21 24 24 24 26 24 22 24 24 24
Runemaster (ArcCo)	65 62 59 62 52 40 40 40 40 35 40 33 33 33 33 38 38 38 38 38 38 38
Sage (MentCo)	52 51 51 52 49 42 42 42 42 40 42 40 40 39 40 42 42 42 41 42 42 42
Sailor	20 19 19 19 20 24 24 24 24 24 24 24 24 26 24 23 22 25 24 24 24 24
Scholar (Gnome)	28 27 26 28 24 21 23 23 24 23 24 23 23 23 23 24 24 24 22 22 22 22
School Master (MarCo)	32 34 33 25 36 51 54 55 57 57 57 57 57 57 57 52 51 52 56 45 45 45
Scout	24 23 21 27 27 37 34 37 37 37 36 37 37 34 37 30 22 30 33 35 35 34
Scribe (HardKnocks)	31 31 31 31 29 28 29 31 31 29 32 32 30 32 31 31 31 31 31 29 29 29
Secret Society Member (MarCo)	17 13 13 16 17 28 20 29 30 27 32 29 26 32 27 27 25 30 28 25 26 27
Servitor	25 25 25 25 25 25 22 24 25 25 25 25 24 25 25 25 25 25 24 25 25 25
Shaguk Kun-Toramim ("[Grey] Orcs with	54 53 50 53 46 41 41 41 41 40 41 40 40 35 39 39 39 39 40 39 39 39
Shaguk Ru'kleftak-sher ("[Grey] Orcs w	52 51 48 55 45 43 49 49 51 51 51 51 51 45 50 49 48 49 50 47 45 45
Shaguk Sh'rmauk-end ("[Greater] Orcs	31 39 35 49 39 57 60 60 61 62 62 62 62 55 62 55 54 55 57 54 53 53
Shaguk Spillak ("[Greater] Orcs who spe	58 57 56 57 51 32 36 37 36 37 37 36 36 33 36 33 32 33 35 33 33 32
Shaguk Staz-pargun ("[Greater] Orcs w	31 41 35 50 42 57 59 59 60 60 60 60 60 55 60 55 53 55 57 55 54 53
Shaguk Zhun-Kleftak ("[Grey] Orcs who	59 58 57 59 52 34 34 34 34 33 34 32 32 30 32 32 32 32 34 32 32 31
Shaman Priest	41 39 35 40 33 31 29 31 31 30 29 31 30 31 31 31 28 31 31 31 31 31
Shieldsman (Dwarf)	26 28 28 29 29 44 44 44 44 44 44 44 44 40 44 35 35 35 38 39 39 38
Shirrif (Halfling)	19 21 20 27 24 35 38 39 39 39 39 39 39 32 39 32 32 32 35 34 34 32
Siege Engineer	31 33 33 36 33 43 42 43 43 42 43 43 42 35 43 38 38 38 39 38 38 37
Skulker (Goblin)	25 23 22 28 27 38 37 43 42 41 43 41 40 39 41 34 27 35 37 39 39 39
Sneak-knife (Kobold)	41 31 36 45 45 57 57 57 58 56 57 57 56 55 56 56 54 55 57 56 57 55
Sokhudnerrim (Dwarf "Undrowned")	25 24 24 24 25 27 27 27 27 27 27 27 27 28 27 27 27 28 27 27 27 27
Soldier	17 26 21 39 27 38 46 46 50 50 50 50 50 37 50 36 35 36 41 41 38 36
Spell Researcher (EssCo)	45 41 41 45 33 27 26 27 27 24 27 24 23 24 24 27 27 27 26 27 27 27
Spell Student (EssCo)	49 45 45 49 38 29 28 29 29 25 29 25 25 25 25 29 30 29 29 29 29 29
Spy	28 23 24 28 27 42 27 41 41 34 43 39 33 43 36 38 33 41 37 39 42 42
Tabula Rasa (Gnome)	33 34 34 35 33 41 34 38 41 37 41 41 37 38 40 39 38 39 39 38 38 37
Templar (ChanCo)	34 42 38 52 43 54 57 57 59 59 59 59 59 51 59 54 54 54 56 53 51 50
Temple Monk (MarCo)	54 54 54 40 53 58 61 64 66 66 66 66 66 66 66 62 62 62 65 55 55 55
Theurgist (Battlefield Medic; ChanCo)	58 56 53 56 49 40 40 40 40 40 40 40 40 40 39 40 40 40 40 40 40 40
Traveller	13 12 11 13 14 20 19 20 20 20 19 20 20 23 20 18 13 21 19 20 20 20
Troubadour	34 34 34 34 31 32 24 31 32 28 31 32 26 32 32 31 29 31 31 32 32 32
Tuskerer (Goblin Battle-Boar Rider)	27 37 33 42 38 60 62 62 62 62 61 62 62 58 62 53 51 53 56 56 56 56
Veterinarian (HardKnocks)	21 25 21 25 25 29 29 29 29 29 27 29 29 28 29 29 22 28 29 29 29 28
Vizier	39 35 37 39 33 28 25 27 28 27 28 27 27 27 27 27 25 27 25 28 28 28
Wanderer	31 30 29 31 29 34 31 34 34 32 33 34 32 35 34 31 28 33 33 34 34 34
Wandering Monk (MarCo)	49 50 50 41 48 51 54 56 58 57 58 58 58 58 58 55 55 55 57 50 50 50
Warlock (ArcCo)	62 60 56 58 48 30 32 32 32 32 33 30 30 30 30 30 30 30 31 29 29 29
Warrior-Priest (MarCo)	34 36 35 28 37 50 53 54 56 57 57 57 57 56 57 51 51 51 56 45 45 44
Water Mage (Fire&Ice)	55 54 54 55 53 31 31 31 31 29 31 29 29 32 29 31 31 34 31 31 31 31
Weapon Master1	38 49 47 57 50 73 73 73 73 73 73 73 73 63 73 60 60 60 64 65 65 62
Weapon Master2 (MarCo)	45 48 47 48 50 64 65 67 67 67 67 67 67 65 67 61 60 61 64 60 60 59
Witch (ChanCo)	60 57 55 58 51 44 44 44 44 40 44 40 40 40 39 43 41 43 41 44 44 44
Zealot	27 28 28 30 27 32 28 30 32 30 32 32 30 28 32 30 30 30 28 30 30 29
